Incident Number,Opened At,Resolved At,Closed At,Category,Subcategory,Priority,Impact,Urgency,State,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Reopen Count,SLA Met,Resolution Hours,Caller ID,Month Year,Quarter
INC102911,2025-12-06 05:31:36,2025-12-09 13:31:36,2025-12-10 12:31:36,Network,Firewall,High,Low,Low,Closed,Windows Team,Jeremy Brewer,Delhi,Operations,CRM Server,Detail appear against deep partner send.,0,Yes,80,Douglas Warren,Dec-2025,Q4
INC102912,2021-06-20 10:05:36,2021-06-23 15:05:36,2021-06-23 18:05:36,Application,Server,Low,High,Low,In Progress,Linux Team,Erin Ortega,Delhi,IT,Web Server,Camera friend she require star buy difference usually field.,1,Yes,77,Tara Smith,Jun-2021,Q2
INC102913,2023-09-05 18:06:24,2023-09-06 06:06:24,2023-09-06 19:06:24,Database,SQL,High,High,Low,New,Network Team,William Jacobs,Hyderabad,Finance,Web Server,Attack address culture own machine always.,1,No,12,Melissa Matthews,Sep-2023,Q3
INC102914,2025-01-04 05:27:26,2025-01-05 06:27:26,2025-01-05 08:27:26,Network,Windows,High,High,Medium,On Hold,Cloud Team,David Nelson,Bangalore,IT,CRM Server,Establish modern many development movie assume.,3,No,25,Mrs. Angel Gibson,Jan-2025,Q1
INC102915,2023-10-25 09:15:37,2023-10-26 05:15:37,2023-10-26 19:15:37,Email,Windows,Critical,Low,High,On Hold,Windows Team,Jesus Green,Mumbai,Support,SAP Server,Middle a should serve maybe former himself voice interview join.,1,Yes,20,Robin Stewart,Oct-2023,Q4
INC102916,2022-06-18 23:48:31,2022-06-22 13:48:31,2022-06-22 20:48:31,Email,VPN,High,Low,High,Resolved,Cloud Team,Jennifer Velasquez,Delhi,Operations,VPN Gateway,Security manager sit writer maintain case process oil.,1,Yes,86,Alexis Barrett,Jun-2022,Q2
INC102917,2025-09-24 00:08:57,2025-09-27 03:08:57,2025-09-27 05:08:57,Email,Firewall,Critical,Low,High,In Progress,Cloud Team,Philip Wood,Delhi,Marketing,Active Directory,Rule care style might against oil member group.,1,No,75,Jane Mitchell,Sep-2025,Q3
INC102918,2025-04-14 04:25:17,2025-04-16 23:25:17,2025-04-17 12:25:17,Database,Windows,Medium,High,Low,Resolved,Database Team,Isaac Heath,Chennai,Operations,SAP Server,Though deep difficult beyond.,2,No,67,Patricia Beard,Apr-2025,Q2
INC102919,2026-01-06 03:06:45,2026-01-08 20:06:45,2026-01-09 18:06:45,Network,Windows,Critical,High,Medium,In Progress,Cloud Team,Natasha Freeman,Hyderabad,Operations,Web Server,Also page hold dinner office minute cultural single until civil.,0,No,65,Shawn Adams,Jan-2026,Q1
INC102920,2022-12-19 07:49:07,2022-12-21 05:49:07,2022-12-22 03:49:07,Email,Server,Low,High,Medium,Closed,Application Support,Douglas Sanchez,Kolkata,Support,Exchange Server,Later difficult issue TV standard key forward light five easy.,3,No,46,Travis Knox,Dec-2022,Q4
INC102921,2026-02-16 13:53:31,2026-02-17 01:53:31,2026-02-17 15:53:31,Network,Printer,Critical,High,High,Closed,Security Team,Kristen Becker,Chennai,IT,Active Directory,Return appear late likely summer me century agreement lead.,5,Yes,12,William Santiago,Feb-2026,Q1
INC102922,2021-10-27 13:42:23,2021-10-29 11:42:23,2021-10-30 02:42:23,Application,Linux,Critical,High,Medium,In Progress,Security Team,Matthew Brown,Mumbai,Support,CRM Server,Personal what imagine financial yard rate suggest.,5,No,46,Garrett Wilson,Oct-2021,Q4
INC102923,2024-07-23 00:29:41,2024-07-24 00:29:41,2024-07-24 08:29:41,Network,Laptop,Medium,Low,Low,On Hold,Database Team,Michelle Hunt,Kolkata,Sales,CRM Server,But central budget investment short TV school remember perhaps prove at.,4,Yes,24,Patricia Crosby,Jul-2024,Q3
INC102924,2021-06-18 04:49:38,2021-06-21 00:49:38,2021-06-21 14:49:38,Hardware,Windows,Critical,High,Low,Resolved,Windows Team,Annette Martinez,Delhi,Operations,VPN Gateway,Example stand take subject for trouble physical as.,3,Yes,68,Michael Hughes,Jun-2021,Q2
INC102925,2023-02-18 15:39:31,2023-02-20 00:39:31,2023-02-20 13:39:31,Network,Oracle,Low,High,Medium,Resolved,Cloud Team,Michael Johnson,Chennai,Sales,Web Server,Push item determine ever opportunity technology nearly standard.,5,No,33,Stephen Tucker,Feb-2023,Q1
INC102926,2023-01-29 17:43:59,2023-02-01 18:43:59,2023-02-02 15:43:59,Software,Laptop,Low,Medium,High,Closed,Security Team,Dr. Patrick Beck,Kolkata,HR,CRM Server,Record to kitchen stay stage.,2,Yes,73,Kevin Bell,Jan-2023,Q1
INC102927,2023-06-23 17:49:55,2023-06-25 11:49:55,2023-06-25 17:49:55,Email,Linux,Critical,High,High,Closed,Service Desk,Austin Lopez,Hyderabad,Sales,Power BI Server,Like remember forget recently alone charge.,3,No,42,Randall Cannon,Jun-2023,Q2
INC102928,2023-02-19 05:11:51,2023-02-20 20:11:51,2023-02-20 21:11:51,Application,Firewall,High,Low,Low,New,Network Team,Daniel Gomez,Chennai,Sales,CRM Server,Action authority can page some cup color.,5,Yes,39,Erica Miller,Feb-2023,Q1
INC102929,2022-08-17 07:48:40,2022-08-18 23:48:40,2022-08-19 13:48:40,Application,Windows,High,High,Medium,New,Linux Team,Heidi Miller,Mumbai,Marketing,Power BI Server,Nothing describe father business writer end everyone four baby.,2,Yes,40,Emily Cunningham,Aug-2022,Q3
INC102930,2024-07-29 21:00:32,2024-08-01 16:00:32,2024-08-02 02:00:32,Security,VPN,Critical,High,Low,Resolved,Service Desk,Brandon Choi,Hyderabad,Finance,Oracle DB,By television interview cover set.,2,No,67,Christina Williams,Jul-2024,Q3
INC102931,2021-05-21 22:45:40,2021-05-24 01:45:40,2021-05-24 10:45:40,Hardware,Server,Low,High,Medium,New,Network Team,Amanda Shaw,Delhi,Operations,CRM Server,Walk set feel specific skill us approach TV.,0,No,51,Carrie Sanders,May-2021,Q2
INC102932,2022-02-14 14:14:29,2022-02-16 17:14:29,2022-02-17 01:14:29,Application,Firewall,Low,High,Medium,On Hold,Linux Team,Melissa Lewis,Kolkata,IT,Active Directory,Among say avoid full share rest improve beautiful benefit write.,0,Yes,51,Jeffrey Nguyen,Feb-2022,Q1
INC102933,2022-02-19 00:06:10,2022-02-21 10:06:10,2022-02-22 05:06:10,Cloud,Firewall,Low,Medium,Medium,On Hold,Database Team,Deanna Clark,Chennai,Sales,Power BI Server,Stop occur level whole individual particular service.,2,No,58,Kathy Collins,Feb-2022,Q1
INC102934,2024-10-25 23:54:04,2024-10-26 08:54:04,2024-10-26 17:54:04,Application,Linux,High,Low,Low,On Hold,Security Team,Susan Graves,Bangalore,Marketing,Exchange Server,Full image foot investment father without sign several himself fast.,1,No,9,Charles Holt,Oct-2024,Q4
INC102935,2024-03-22 06:48:46,2024-03-26 06:48:46,2024-03-26 20:48:46,Database,Laptop,Critical,Low,High,Resolved,Network Team,Nicholas Rodriguez,Pune,Finance,CRM Server,Poor thought environmental through price American school.,2,No,96,Michael Sanchez,Mar-2024,Q1
INC102936,2024-10-30 12:31:40,2024-11-03 03:31:40,2024-11-03 20:31:40,Database,Laptop,High,High,Low,New,Windows Team,Dr. John Abbott,Pune,Sales,SAP Server,Quickly true respond house third fear second letter relationship.,0,Yes,87,Timothy Anderson,Oct-2024,Q4
INC102937,2024-02-05 08:12:02,2024-02-06 20:12:02,2024-02-07 01:12:02,Email,Firewall,Medium,High,Medium,Closed,Windows Team,Russell Jackson,Kolkata,Marketing,Power BI Server,Pressure language media federal science view.,3,No,36,Claudia Potts,Feb-2024,Q1
INC102938,2025-04-26 02:15:05,2025-04-26 22:15:05,2025-04-27 19:15:05,Database,Oracle,High,Medium,High,On Hold,Application Support,Jay Yang,Chennai,Support,SAP Server,Test executive over term measure call minute international check again study.,1,Yes,20,Laurie Davenport,Apr-2025,Q2
INC102939,2023-10-16 09:29:03,2023-10-16 10:29:03,2023-10-16 16:29:03,Software,SQL,Critical,Medium,Low,On Hold,Application Support,Savannah Bates,Hyderabad,Support,Exchange Server,Whose cell front organization someone little inside together.,1,Yes,1,Brandon Clay,Oct-2023,Q4
INC102940,2024-04-28 11:13:46,2024-05-01 19:13:46,2024-05-02 18:13:46,Database,Windows,Medium,Medium,High,Resolved,Security Team,Leonard Edwards,Bangalore,Support,Web Server,Security interest child stuff specific law line.,5,Yes,80,Zachary Scott,Apr-2024,Q2
INC102941,2022-06-25 07:00:08,2022-06-26 15:00:08,2022-06-27 07:00:08,Network,Oracle,High,High,Low,On Hold,Windows Team,Susan Gomez,Chennai,Marketing,Power BI Server,Treatment appear worker again few loss.,3,No,32,Samuel Brown,Jun-2022,Q2
INC102942,2022-12-24 12:53:44,2022-12-27 17:53:44,2022-12-28 17:53:44,Network,Linux,Critical,Low,Low,Resolved,Database Team,Brendan Vance,Pune,Finance,Exchange Server,White relate garden high.,1,Yes,77,Sarah Lewis,Dec-2022,Q4
INC102943,2025-08-24 17:54:56,2025-08-26 09:54:56,2025-08-27 02:54:56,Network,Laptop,Critical,Low,High,On Hold,Windows Team,Meghan Long,Delhi,Sales,Power BI Server,Military wait follow quality may service start true.,2,No,40,Dana Johnson,Aug-2025,Q3
INC102944,2024-11-30 16:38:20,2024-12-01 07:38:20,2024-12-01 15:38:20,Email,Firewall,Low,Medium,High,New,Database Team,Michael Garza,Delhi,Marketing,Exchange Server,Successful game similar can.,4,Yes,15,Travis Greene DDS,Nov-2024,Q4
INC102945,2022-11-07 23:45:12,2022-11-10 10:45:12,2022-11-10 20:45:12,Hardware,Oracle,High,High,Low,Resolved,Windows Team,Tammy Watson,Chennai,IT,Power BI Server,Nor significant research mother personal according.,0,Yes,59,Joshua Romero,Nov-2022,Q4
INC102946,2024-11-18 18:51:17,2024-11-20 17:51:17,2024-11-21 13:51:17,Application,Firewall,Medium,Low,Low,New,Service Desk,Angela Gordon,Chennai,IT,Exchange Server,Station design voice much protect.,0,No,47,Cody Lowe,Nov-2024,Q4
INC102947,2021-07-06 21:46:30,2021-07-10 21:46:30,2021-07-11 06:46:30,Hardware,SQL,High,Medium,Low,Resolved,Network Team,Rebecca Ortiz,Mumbai,Operations,Power BI Server,Continue top exist they really keep garden.,3,Yes,96,David Roberts,Jul-2021,Q3
INC102948,2024-04-03 06:24:39,2024-04-04 05:24:39,2024-04-05 05:24:39,Software,Printer,Critical,High,Medium,In Progress,Windows Team,Steven Leonard,Chennai,HR,Web Server,Its interest protect stuff nothing song care.,2,No,23,Robert Macias,Apr-2024,Q2
INC102949,2021-12-31 01:31:34,2022-01-01 18:31:34,2022-01-01 20:31:34,Network,Oracle,Medium,High,Low,Resolved,Windows Team,Shelia Williams,Kolkata,Sales,VPN Gateway,Election the group begin training show provide morning computer.,0,Yes,41,Todd Smith,Dec-2021,Q4
INC102950,2024-10-16 12:47:25,2024-10-17 15:47:25,2024-10-17 19:47:25,Security,SQL,Critical,Medium,Low,New,Service Desk,Hayden Jackson,Delhi,Support,Power BI Server,Kind central often team machine analysis.,4,Yes,27,Daniel Howell,Oct-2024,Q4
INC102951,2024-05-13 07:06:29,2024-05-17 05:06:29,2024-05-17 14:06:29,Database,SQL,High,Low,Medium,On Hold,Linux Team,Kevin Hanna,Bangalore,Sales,Active Directory,Now address floor she wife.,4,No,94,Cody Chan,May-2024,Q2
INC102952,2023-05-17 07:59:28,2023-05-17 15:59:28,2023-05-18 08:59:28,Cloud,Firewall,High,Low,Low,In Progress,Windows Team,Jeffery Floyd,Delhi,HR,Power BI Server,Little avoid writer could future sport.,0,No,8,Amy Edwards,May-2023,Q2
INC102953,2026-04-22 16:22:31,2026-04-23 12:22:31,2026-04-24 08:22:31,Hardware,Firewall,Medium,Low,Low,In Progress,Windows Team,Aaron Rice DDS,Pune,Operations,Oracle DB,Claim become despite major air power economy or.,2,Yes,20,Colin Rose,Apr-2026,Q2
INC102954,2021-10-10 21:43:37,2021-10-13 23:43:37,2021-10-14 13:43:37,Hardware,VPN,High,Low,Low,On Hold,Database Team,Blake Hernandez,Bangalore,Finance,VPN Gateway,Center whatever clear few work away affect key important cut.,3,Yes,74,Jennifer Jackson,Oct-2021,Q4
INC102955,2025-08-10 05:00:21,2025-08-13 11:00:21,2025-08-13 17:00:21,Cloud,Firewall,High,Medium,Medium,Resolved,Network Team,Carrie Clayton,Hyderabad,Marketing,Power BI Server,Service mind center because example wait son.,5,Yes,78,Brandon Hicks,Aug-2025,Q3
INC102956,2024-04-04 00:20:12,2024-04-05 13:20:12,2024-04-06 11:20:12,Software,Oracle,Critical,Medium,Low,Closed,Database Team,Kim Price,Delhi,HR,VPN Gateway,Loss capital central eat research type could hour.,5,Yes,37,Carla Harris,Apr-2024,Q2
INC102957,2024-07-25 17:46:39,2024-07-27 15:46:39,2024-07-28 00:46:39,Network,Firewall,Medium,High,Medium,On Hold,Security Team,Melanie Smith,Bangalore,Sales,Exchange Server,Director fire stuff amount maintain condition positive collection.,3,No,46,Trevor Warren,Jul-2024,Q3
INC102958,2024-05-28 03:19:30,2024-05-30 19:19:30,2024-05-30 22:19:30,Network,Windows,Low,High,Low,New,Cloud Team,Gregory Johnson,Kolkata,IT,Exchange Server,Write end night car court.,5,No,64,Julia Watkins,May-2024,Q2
INC102959,2023-01-31 22:38:13,2023-02-04 22:38:13,2023-02-05 12:38:13,Hardware,Laptop,Critical,Medium,Medium,Resolved,Application Support,Michael Sutton,Hyderabad,Marketing,Active Directory,Ball information to front back federal member.,2,Yes,96,Colin Rose,Jan-2023,Q1
INC102960,2024-06-16 09:28:33,2024-06-16 16:28:33,2024-06-17 06:28:33,Network,VPN,Medium,High,Low,Resolved,Security Team,Nicole Nolan DDS,Mumbai,Operations,VPN Gateway,Crime short response many senior suffer available mouth.,1,Yes,7,Carrie Contreras,Jun-2024,Q2
INC102961,2021-12-30 08:43:37,2021-12-31 18:43:37,2022-01-01 16:43:37,Software,Firewall,Low,Medium,Low,On Hold,Network Team,Michaela Baker,Pune,Sales,Exchange Server,Throw government natural treat cut maintain.,1,Yes,34,Crystal Wood,Dec-2021,Q4
INC102962,2024-07-07 21:00:14,2024-07-08 21:00:14,2024-07-09 19:00:14,Software,VPN,Low,Medium,High,On Hold,Security Team,Gregory Rivas,Kolkata,Finance,VPN Gateway,Decade force face read today.,1,No,24,Lisa Palmer,Jul-2024,Q3
INC102963,2025-10-06 07:10:56,2025-10-06 09:10:56,2025-10-06 20:10:56,Software,Oracle,Medium,Medium,Low,In Progress,Database Team,Cody Taylor,Delhi,Support,Oracle DB,Ok also and free they money present enjoy.,2,No,2,Aaron Garrett,Oct-2025,Q4
INC102964,2025-05-30 14:55:49,2025-05-30 20:55:49,2025-05-30 22:55:49,Software,Server,High,Low,High,Closed,Cloud Team,Derek Porter,Mumbai,IT,VPN Gateway,Assume consumer structure inside wide soldier get collection.,4,No,6,Shawn Adams,May-2025,Q2
INC102965,2021-03-02 12:35:56,2021-03-03 10:35:56,2021-03-03 23:35:56,Application,Windows,Low,Medium,Low,Resolved,Service Desk,Derrick Wilkins,Chennai,Finance,VPN Gateway,Interview adult behavior worry consider wrong other.,5,Yes,22,Joseph Wells,Mar-2021,Q1
INC102966,2022-03-28 01:02:52,2022-03-28 07:02:52,2022-03-28 20:02:52,Security,SQL,Critical,Medium,High,Resolved,Network Team,Ashley Miller,Delhi,HR,Oracle DB,Glass goal only then can teacher which amount.,2,No,6,David Miller,Mar-2022,Q1
INC102967,2023-03-25 05:02:33,2023-03-27 21:02:33,2023-03-28 00:02:33,Network,Laptop,Low,Low,High,Resolved,Service Desk,Marc Harris,Bangalore,Operations,VPN Gateway,Them pressure never however individual if.,2,Yes,64,Tracey Garcia,Mar-2023,Q1
INC102968,2021-11-21 19:46:42,2021-11-24 06:46:42,2021-11-25 06:46:42,Software,Laptop,Low,Medium,Low,Resolved,Linux Team,Ashley Gardner,Hyderabad,IT,Exchange Server,Ten phone various part open.,2,Yes,59,Caleb Mendoza,Nov-2021,Q4
INC102969,2022-02-21 02:23:03,2022-02-24 03:23:03,2022-02-24 20:23:03,Software,Server,Medium,High,Low,On Hold,Cloud Team,Kimberly Jenkins,Kolkata,Sales,Power BI Server,Green majority law civil material upon many wait as wall.,4,No,73,Edward Butler,Feb-2022,Q1
INC102970,2021-05-01 20:38:07,2021-05-02 20:38:07,2021-05-03 11:38:07,Email,Linux,Critical,Medium,Medium,In Progress,Application Support,Mary Davis,Delhi,Finance,Power BI Server,Use least visit stock three.,2,No,24,Robert Martinez,May-2021,Q2
INC102971,2023-12-13 04:46:04,2023-12-15 05:46:04,2023-12-15 12:46:04,Software,Server,Critical,Low,High,In Progress,Linux Team,George Grant,Kolkata,Sales,SAP Server,Admit leader opportunity line either once region night around human.,3,No,49,Anthony Snyder,Dec-2023,Q4
INC102972,2024-02-23 22:21:21,2024-02-27 22:21:21,2024-02-28 09:21:21,Cloud,Laptop,Critical,High,Low,On Hold,Service Desk,Micheal Bennett DDS,Pune,Sales,SAP Server,Citizen into including against chance food white picture.,0,Yes,96,Carly Taylor,Feb-2024,Q1
INC102973,2021-04-01 02:46:32,2021-04-02 05:46:32,2021-04-02 18:46:32,Software,Linux,Low,High,Medium,New,Application Support,Mrs. Jamie Bailey,Chennai,Finance,CRM Server,Role wall research everything agreement.,4,No,27,Kelly Johnson,Apr-2021,Q2
INC102974,2023-07-17 01:00:35,2023-07-18 06:00:35,2023-07-19 00:00:35,Security,Oracle,Critical,High,Medium,New,Service Desk,Julie Curtis,Mumbai,Sales,Web Server,Main central organization city family remember forget.,5,Yes,29,Daniel Williams,Jul-2023,Q3
INC102975,2021-07-16 14:26:18,2021-07-17 02:26:18,2021-07-18 01:26:18,Hardware,Laptop,Medium,Low,Medium,On Hold,Application Support,Scott Lamb,Chennai,Support,CRM Server,Education billion sense sea realize senior.,0,Yes,12,Todd Smith,Jul-2021,Q3
INC102976,2026-03-08 19:35:24,2026-03-10 12:35:24,2026-03-11 00:35:24,Cloud,Printer,Low,Low,High,New,Service Desk,Elizabeth Callahan,Mumbai,IT,Exchange Server,Response total approach by south candidate than fine determine exist.,0,No,41,William Santiago,Mar-2026,Q1
INC102977,2021-12-27 08:47:50,2021-12-27 09:47:50,2021-12-27 19:47:50,Database,VPN,Low,Medium,Medium,New,Network Team,Jessica Riley,Mumbai,IT,CRM Server,Field huge toward minute career.,2,Yes,1,Michael Clark,Dec-2021,Q4
INC102978,2021-07-04 22:49:07,2021-07-05 04:49:07,2021-07-05 13:49:07,Security,Oracle,Medium,High,Medium,In Progress,Windows Team,William Mcmillan,Bangalore,Support,Exchange Server,East no play operation relate provide PM thought police deal.,5,Yes,6,Katherine Ritter,Jul-2021,Q3
INC102979,2022-06-15 00:55:57,2022-06-16 06:55:57,2022-06-16 23:55:57,Hardware,Oracle,Critical,Medium,High,On Hold,Service Desk,Stephanie Alvarez,Bangalore,HR,CRM Server,Hear just happen show wish.,3,No,30,Spencer Martinez,Jun-2022,Q2
INC102980,2024-08-02 18:31:00,2024-08-06 04:31:00,2024-08-06 11:31:00,Database,VPN,High,High,High,Resolved,Service Desk,Kelly Curtis,Pune,Support,VPN Gateway,Body soon lawyer special who amount forget.,3,No,82,Katie Rivas,Aug-2024,Q3
INC102981,2022-03-19 07:26:16,2022-03-22 04:26:16,2022-03-22 16:26:16,Software,Windows,Low,Low,High,New,Application Support,Angela Jones,Mumbai,Marketing,SAP Server,Away usually story western finally important as should against note.,3,No,69,Judy Blanchard,Mar-2022,Q1
INC102982,2021-09-06 20:44:48,2021-09-07 01:44:48,2021-09-07 07:44:48,Security,SQL,Critical,High,Medium,In Progress,Database Team,Diane Frye,Bangalore,HR,CRM Server,Site stop eye loss space machine security field event most.,1,Yes,5,David Miller,Sep-2021,Q3
INC102983,2025-08-27 21:34:04,2025-08-29 22:34:04,2025-08-30 20:34:04,Database,Oracle,High,High,High,In Progress,Cloud Team,Samuel Hughes,Kolkata,Finance,Active Directory,Make adult well rather political truth exist my.,2,No,49,Cody Chan,Aug-2025,Q3
INC102984,2022-04-02 03:43:54,2022-04-06 01:43:54,2022-04-07 00:43:54,Network,Firewall,High,Medium,Low,Resolved,Database Team,Holly Michael MD,Kolkata,Operations,CRM Server,Two prevent country value.,3,Yes,94,Margaret Hall,Apr-2022,Q2
INC102985,2023-10-25 11:43:07,2023-10-26 16:43:07,2023-10-26 18:43:07,Network,Oracle,Low,Low,Medium,Closed,Cloud Team,Allison Brooks,Delhi,HR,Power BI Server,Position relate production marriage young process Mrs begin record population.,2,Yes,29,Mrs. Angel Gibson,Oct-2023,Q4
INC102986,2025-01-27 08:13:04,2025-01-27 15:13:04,2025-01-28 14:13:04,Software,Linux,Critical,Medium,High,In Progress,Security Team,Joshua Garza,Pune,Marketing,Power BI Server,Activity everything laugh shoulder statement final mean never size why.,0,Yes,7,Mary Spencer,Jan-2025,Q1
INC102987,2022-05-29 19:00:01,2022-06-02 13:00:01,2022-06-03 12:00:01,Cloud,VPN,Low,Medium,Medium,Closed,Service Desk,Judith Hawkins,Mumbai,Support,CRM Server,Well if pattern may outside dream across.,4,No,90,Brandon Hicks,May-2022,Q2
INC102988,2021-12-08 16:29:50,2021-12-12 15:29:50,2021-12-13 09:29:50,Hardware,Firewall,Critical,Low,High,Closed,Database Team,Isaac Hernandez,Delhi,Operations,CRM Server,Wait second husband fast employee myself bag reach.,2,No,95,Deborah Espinoza,Dec-2021,Q4
INC102989,2022-02-10 09:30:59,2022-02-14 07:30:59,2022-02-14 09:30:59,Security,Firewall,Medium,High,High,Closed,Application Support,Nathan Jackson,Bangalore,HR,VPN Gateway,Current blood drop base conference adult eight can.,4,No,94,Paul Bennett,Feb-2022,Q1
INC102990,2021-08-27 02:17:35,2021-08-27 23:17:35,2021-08-28 14:17:35,Network,Laptop,High,Medium,Medium,Resolved,Service Desk,Hailey Peterson,Bangalore,Sales,Oracle DB,Subject approach difficult peace ahead long today suffer.,2,No,21,Greg Munoz,Aug-2021,Q3
INC102991,2025-01-15 11:06:07,2025-01-17 17:06:07,2025-01-18 17:06:07,Hardware,VPN,Critical,Low,High,On Hold,Security Team,Jaime Allen,Pune,Sales,Oracle DB,Listen kitchen to condition put feeling receive what.,1,No,54,Carl Wong,Jan-2025,Q1
INC102992,2022-03-10 01:04:08,2022-03-10 04:04:08,2022-03-10 21:04:08,Email,Server,High,Low,High,New,Service Desk,William Maldonado,Mumbai,Support,Active Directory,Top example plan hard kind line manage statement page common.,1,No,3,Katelyn Jones,Mar-2022,Q1
INC102993,2023-08-07 00:26:56,2023-08-07 11:26:56,2023-08-08 05:26:56,Cloud,Laptop,Low,Medium,Medium,In Progress,Database Team,Mary Morgan,Bangalore,IT,CRM Server,Population successful probably look with middle.,2,Yes,11,James Moran,Aug-2023,Q3
INC102994,2025-04-27 02:44:56,2025-04-29 05:44:56,2025-04-29 13:44:56,Hardware,Firewall,Medium,Low,Low,In Progress,Windows Team,Daniel Ochoa,Mumbai,Finance,Power BI Server,Quality increase enter attack bag wear market.,3,Yes,51,Gail Williams,Apr-2025,Q2
INC102995,2023-04-24 12:24:49,2023-04-27 22:24:49,2023-04-28 17:24:49,Email,VPN,Medium,Medium,High,Resolved,Database Team,Rhonda Whitaker,Mumbai,Support,VPN Gateway,Middle majority once big.,2,No,82,Travis Greene DDS,Apr-2023,Q2
INC102996,2021-08-16 21:50:44,2021-08-18 18:50:44,2021-08-18 21:50:44,Email,Server,Medium,High,High,Resolved,Cloud Team,Brittney Clark,Kolkata,Support,Oracle DB,Blood thus finally for child animal your once.,3,Yes,45,Philip Tran,Aug-2021,Q3
INC102997,2022-07-08 10:05:50,2022-07-09 00:05:50,2022-07-09 09:05:50,Database,Windows,High,High,High,In Progress,Database Team,Jessica Meyer,Delhi,Support,Exchange Server,Authority such myself win sing.,0,Yes,14,Andrew Griffin,Jul-2022,Q3
INC102998,2024-04-02 07:42:22,2024-04-04 02:42:22,2024-04-04 22:42:22,Application,Linux,Medium,Medium,High,Resolved,Database Team,Samuel Daniel,Pune,Operations,Power BI Server,Rate suffer western else opportunity western decade they PM.,5,Yes,43,Justin Evans,Apr-2024,Q2
INC102999,2023-08-24 21:40:49,2023-08-25 06:40:49,2023-08-25 08:40:49,Security,Linux,Medium,High,Low,Closed,Linux Team,Jerry Jordan,Chennai,Marketing,Web Server,It my trouble service all foot.,4,Yes,9,Paul Mills,Aug-2023,Q3
INC103000,2025-07-19 15:20:45,2025-07-21 06:20:45,2025-07-21 14:20:45,Hardware,Windows,Medium,Medium,Low,On Hold,Security Team,Theresa Ross,Delhi,Operations,Web Server,Lay sell look who natural else almost about almost price.,1,No,39,Kimberly Carpenter,Jul-2025,Q3
INC103001,2021-10-10 08:45:16,2021-10-13 21:45:16,2021-10-14 18:45:16,Network,VPN,Medium,High,Low,On Hold,Cloud Team,Colleen Evans,Chennai,HR,VPN Gateway,Political fly statement present kitchen TV reveal art second.,2,Yes,85,Christopher Mann,Oct-2021,Q4
INC103002,2021-07-12 22:09:12,2021-07-15 09:09:12,2021-07-15 13:09:12,Cloud,Laptop,Critical,Low,High,On Hold,Linux Team,Scott Silva,Hyderabad,Finance,VPN Gateway,When stuff new sound fund trial.,2,Yes,59,Brenda Buchanan,Jul-2021,Q3
INC103003,2025-06-10 05:26:34,2025-06-11 13:26:34,2025-06-11 15:26:34,Application,Firewall,High,Low,Medium,Closed,Database Team,Michael Singh,Delhi,Finance,Active Directory,Benefit thing make fly international.,1,No,32,Ernest Patrick,Jun-2025,Q2
INC103004,2022-01-02 08:15:18,2022-01-03 16:15:18,2022-01-04 10:15:18,Application,Server,Medium,Medium,Medium,In Progress,Application Support,Anthony Gill,Delhi,Sales,Power BI Server,Morning while single language method truth.,0,Yes,32,Joshua Turner,Jan-2022,Q1
INC103005,2024-02-12 01:02:32,2024-02-15 20:02:32,2024-02-16 08:02:32,Software,Printer,Medium,High,High,On Hold,Windows Team,Brian Chavez,Delhi,IT,SAP Server,Thank dog seat practice road mission.,5,No,91,Christopher Anderson,Feb-2024,Q1
INC103006,2026-06-19 18:18:20,2026-06-22 11:18:20,2026-06-23 07:18:20,Security,Oracle,High,Low,High,Resolved,Service Desk,David Sweeney,Kolkata,Operations,Exchange Server,Deal glass by fish president might six next by.,4,Yes,65,Douglas Murphy,Jun-2026,Q2
INC103007,2023-10-19 07:16:53,2023-10-23 01:16:53,2023-10-23 14:16:53,Hardware,Printer,Critical,Low,Medium,Closed,Windows Team,Patrick Dixon,Mumbai,HR,CRM Server,Kitchen next so build white material business energy rather lawyer.,4,Yes,90,Brian Barnes,Oct-2023,Q4
INC103008,2025-02-03 22:02:48,2025-02-07 10:02:48,2025-02-07 12:02:48,Hardware,Oracle,High,Medium,High,New,Application Support,Beverly Brown,Pune,IT,Power BI Server,Phone theory art nor consider similar again industry wall claim.,4,Yes,84,Jake Lewis,Feb-2025,Q1
INC103009,2025-01-15 15:30:44,2025-01-16 16:30:44,2025-01-17 09:30:44,Security,Server,High,High,High,On Hold,Linux Team,Patricia Werner,Kolkata,HR,SAP Server,Manager bag order first table education throughout road family past outside.,0,Yes,25,Charles Holt,Jan-2025,Q1
INC103010,2024-04-30 01:40:08,2024-04-30 14:40:08,2024-04-30 20:40:08,Application,Server,Medium,Medium,High,New,Security Team,Alicia Sanchez MD,Hyderabad,Operations,Exchange Server,Approach recently program down difference sing hospital her perform.,1,No,13,Teresa Vazquez,Apr-2024,Q2
INC103011,2021-12-31 18:47:23,2022-01-01 05:47:23,2022-01-02 00:47:23,Software,SQL,Critical,Low,Low,New,Linux Team,Jim West,Chennai,Support,Exchange Server,Subject receive board fish seat.,4,No,11,Paul Mcdaniel,Dec-2021,Q4
